date,target,days_to_news,open,high,low,close,vol,signed_volume,zero_vol_mins_count,significant_mins_count,max_signed_volume,trade_value,trade_value_std,RSI_above_80_count,RSI_below_20_count,avg_price,max_box_cross_2p_count,price_cross_bb,30d_avg_trade_value,trade_val_ratio,body_vs_shadow,interaday_volatility,cloud_width_to_range,max_10_min_price_change_pos,max_10_min_price_change_neg,max_10_min_trade_Value,correlation,RSI
2017-01-01,0,0,141.58407407407407,141.58407407407407,135.74970370370372,135.8,317357423.4167894,25406590.00000015,43,0,167999999.9999997,43850301973,1192885485.7680402,7,30,138.17323540407895,1,20,43850301973,1,0.9913793103448277,0.9308440150874698,,0.015037594,-0.019202899,17575386577,,
2017-01-02,0,0,137.96564977973566,140.0278414096916,135.85316079295154,137.01,311826366.01707906,185542842.99999946,29,0,187199999.99999896,42849598502,994710110.1701475,16,18,137.4149307812319,3,18,43349950238,0.9884578475232673,0.2289156626505997,0.9097988829370235,,0.025539568345323782,-0.023546726,15526185655,,
2017-01-03,0,0,137.0101115241636,137.41249070631972,133.7910780669145,135.3,141026421.13821137,-567228,32,0,3256759.9999999255,19037717600,157475585.9332419,11,7,134.99397805282385,1,22,35245872691.666664,0.540140338,0.4722222222222248,0.9538891194772177,,0.011070110701107017,-0.019924812,3821888582.0000005,,41.43835616438344
2017-01-04,0,0,134.8498451661631,136.30849697885196,132.78761329305135,133.19,223814331.94684285,26029524.00000248,64,0,46809000.00000334,30091411870,979518967.4681672,10,24,134.44810083541424,1,20,33957257486,0.8861555407466177,0.4714285714285609,0.6533911634030667,,0.007037037,-0.009380863,15177987509,,24.055666003975873
2017-01-07,0,0,134.2984077669903,134.2984077669903,128.86611262135924,129.52,438984954.2541692,-55765864,16,0,21199999.99999764,57301531837,1029215827.2462665,0,5,130.5318810626544,1,13,38626112356,1.4834920819440336,0.8796296296296298,1.2876494513076784,,0.012716763005780342,-0.012875536,17128595639.000002,,13.908045977011326
2017-01-08,0,0,129.46339163498098,135.19720152091256,129.46339163498098,132.28,289306819.54944056,-12393888,24,0,9831240.000000115,38559323708,1022878095.9658936,13,23,133.28176559422747,1,36,38614980915,0.9985586628380702,0.4912280701754388,1.010972793230847,,0.023845007451564853,-0.016399695,17599976155,,34.64223385689344
2017-01-09,0,0,132.22658526979126,132.22658526979126,127.0461599054746,127.7,270369719.56930304,14345733.000002665,24,0,10915378.00000195,34654516166,965445361.8211184,0,4,128.17454639966482,1,17,38049200236.57143,0.9107817234142918,0.8737864077669897,1.3265712215412004,,0.016166281755196365,-0.018992248,15885891276.999998,,24.75062344
2017-01-11,0,0,129.2673129119814,131.37985265606824,123.48297789841024,129.72,419692308.50292933,139190121,16,0,40635621.00000012,54027808041,424263909.78027004,2,4,128.7319470631254,4,19,40046526212,1.3491259580123542,0.057324840764328824,2.008813911180601,,0.027131783,-0.025754527,12909232943,,33.16722037652261
2017-01-14,0,0,133.9934475055845,135.1,132.2330230826508,135.1,508486898.57883054,5464377.000000126,91,0,5962154.000000044,68681315586,1233477482.8149953,14,2,135.0699807172168,1,7,43228169475.888885,1.5888092514374905,0.3859649122807063,0.21856529486358237,,0.021221147,-0.000372439,25695097916,,48.506825938566514
2017-01-15,0,0,140.83433841787868,141.79,136.86079815537423,141.79,656172838.5147048,74843492.99999928,32,0,90997956.99999912,92394295301,1340875715.2959354,21,20,140.80786323027516,1,20,48144782058,1.919092606732023,0.19387755102040546,1.6267330789402117,,0.022356281,-0.015245009,26173173040,,59.94025887819448
2017-01-16,0,0,141.83408450704226,143.292662,136.55302816901408,142.84,527846587.2304676,216167959.00000283,28,0,108060000.00000237,74235148173,1175051685.4568276,3,13,140.63773446466854,2,26,50516633523.36364,1.469518908829637,0.14925373134328246,1.2562436489703186,,0.015845070422535214,-0.038291605,17911751539,,61.28928801
