iter	Passed	Remaining
0	269	404199
1	520	389713
2	705	352090
3	905	338685
4	1152	344623
5	1366	340262
6	1649	351766
7	1825	340487
8	2008	332665
9	2260	336785
10	2463	333449
11	2719	337261
12	2966	339333
13	3191	338720
14	3469	343505
15	3663	339818
16	3817	332978
17	4023	331231
18	4197	327151
19	4504	333339
20	4651	327594
21	4801	322569
22	5055	324640
23	5276	324475
24	5510	325130
25	5761	326606
26	6014	328104
27	6264	329312
28	6487	329058
29	6719	329277
30	6939	328843
31	7165	328712
32	7352	326833
33	7500	323411
34	7713	322858
35	7927	322390
36	8185	323657
37	8410	323574
38	8606	322404
39	8711	317975
40	8920	317447
41	9153	317771
42	9384	317977
43	9481	313751
44	9584	309910
45	9828	310654
46	10050	310724
47	10266	310556
48	10505	311086
49	10760	312044
50	11005	312693
51	11249	313262
52	11507	314184
53	11754	314757
54	11986	314925
55	12219	315100
56	12467	315626
57	12681	315287
58	12803	312700
59	12993	311835
60	13095	308917
61	13196	306084
62	13316	303744
63	13554	304133
64	13819	305091
65	13995	304085
66	14231	304387
67	14485	305046
68	14725	305402
69	14951	305430
70	15107	304067
71	15340	304248
72	15541	303800
73	15764	303786
74	16000	304011
75	16210	303740
76	16359	302324
77	16554	301796
78	16754	301377
79	16898	299951
80	16997	297768
81	17214	297684
82	17420	297411
83	17570	296182
84	17780	296000
85	17907	294429
86	18024	292736
87	18225	292443
88	18461	292682
89	18606	291496
90	18862	292061
91	19086	292108
92	19296	291943
93	19533	292173
94	19756	292192
95	19950	291770
96	20169	291730
97	20356	291227
98	20582	291272
99	20802	291237
100	21068	291830
101	21179	290288
102	21428	290630
103	21682	291044
104	21925	291293
105	22145	291229
106	22313	290492
107	22532	290413
108	22773	290617
109	22875	289061
110	23005	287875
111	23245	288072
112	23476	288157
113	23703	288185
114	23824	286930
115	23964	285927
116	24207	286148
117	24423	286042
118	24652	286097
119	24907	286433
120	25146	286589
121	25376	286629
122	25589	286480
123	25824	286572
124	26052	286574
125	26164	285319
126	26388	285281
127	26630	285442
128	26879	285670
129	27114	285742
130	27372	286057
131	27596	285997
132	27841	286157
133	28060	286044
134	28296	286110
135	28516	285998
136	28768	286214
