iter	Passed	Remaining
411	4043	11660
412	4054	11652
413	4066	11648
414	4077	11641
415	4088	11637
416	4099	11630
417	4110	11623
418	4119	11611
419	4130	11604
420	4141	11598
421	4151	11588
422	4162	11581
423	4172	11573
424	4183	11564
425	4194	11559
426	4206	11555
427	4216	11545
428	4227	11538
429	4237	11529
430	4246	11518
431	4257	11509
432	4266	11498
433	4277	11491
434	4288	11485
435	4297	11474
436	4308	11467
437	4319	11459
438	4328	11448
439	4339	11441
440	4350	11432
441	4359	11421
442	4370	11414
443	4380	11404
444	4391	11397
445	4402	11390
446	4411	11379
447	4422	11372
448	4432	11362
449	4441	11350
450	4452	11342
451	4463	11335
452	4473	11326
453	4484	11319
454	4495	11312
455	4506	11306
456	4518	11300
457	4528	11291
458	4538	11282
459	4548	11272
460	4558	11262
461	4570	11257
462	4580	11247
463	4588	11233
464	4598	11223
465	4606	11209
466	4616	11199
467	4625	11189
468	4635	11178
469	4644	11167
470	4652	11153
471	4662	11141
472	4670	11128
473	4680	11118
474	4688	11105
475	4698	11093
476	4707	11082
477	4716	11069
478	4725	11059
479	4734	11046
480	4743	11036
481	4754	11027
482	4763	11017
483	4773	11005
484	4781	10993
485	4791	10983
486	4799	10968
487	4809	10959
488	4817	10945
489	4827	10935
490	4836	10924
491	4845	10911
492	4856	10904
493	4864	10890
494	4874	10880
495	4882	10867
496	4892	10857
497	4901	10846
498	4910	10834
499	4919	10823
500	4928	10811
501	4938	10800
502	4946	10787
503	4955	10777
504	4966	10768
505	4975	10756
506	4984	10746
507	4993	10734
508	5003	10724
509	5012	10712
510	5021	10701
511	5030	10689
512	5038	10675
513	5047	10664
514	5056	10653
515	5065	10642
516	5074	10629
517	5083	10618
518	5091	10604
519	5101	10596
520	5110	10583
521	5119	10573
522	5128	10561
523	5137	10550
524	5147	10539
525	5156	10528
526	5168	10522
527	5178	10513
528	5188	10503
529	5199	10497
530	5208	10484
531	5217	10473
532	5225	10461
533	5234	10448
534	5244	10439
535	5254	10430
536	5264	10420
537	5272	10408
538	5282	10397
539	5291	10387
540	5301	10377
541	5311	10367
542	5319	10354
543	5328	10344
544	5337	10332
545	5347	10322
546	5356	10310
547	5364	10298
548	5373	10286
549	5381	10274
550	5391	10264
551	5400	10252
552	5409	10242
553	5419	10232
554	5428	10220
555	5436	10208
556	5445	10197
557	5454	10185
558	5462	10173
559	5473	10164
560	5481	10151
561	5490	10141
562	5499	10130
563	5509	10120
564	5518	10109
565	5527	10097
566	5537	10089
567	5547	10079
568	5557	10069
569	5565	10056
570	5574	10046
571	5583	10035
572	5592	10024
573	5602	10013
574	5610	10001
575	5619	9990
576	5628	9978
577	5638	9969
578	5647	9959
579	5656	9947
580	5665	9936
581	5674	9925
582	5684	9916
583	5693	9904
584	5702	9894
585	5710	9881
586	5719	9870
587	5727	9857
588	5738	9849
589	5747	9839
590	5756	9827
591	5765	9817
592	5774	9805
593	5784	9797
594	5793	9785
595	5802	9774
596	5812	9765
597	5821	9753
598	5832	9746
599	5841	9736
600	5852	9728
601	5864	9721
602	5874	9712
603	5884	9704
604	5895	9695
605	5905	9686
606	5915	9677
607	5924	9667
608	5935	9658
609	5944	9648
610	5954	9638
611	5964	9628
612	5973	9618
613	5982	9606
614	5993	9599
615	6002	9588
616	6011	9577
617	6020	9565
618	6031	9558
619	6043	9552
620	6051	9540
621	6061	9530
622	6071	9520
623	6080	9510
624	6089	9499
625	6098	9488
626	6107	9477
627	6115	9466
628	6125	9456
629	6133	9444
630	6143	9434
631	6152	9423
632	6161	9411
633	6169	9400
634	6179	9390
635	6188	9380
636	6196	9368
637	6207	9359
638	6215	9347
639	6224	9337
640	6235	9329
641	6244	9317
642	6253	9307
643	6261	9295
644	6271	9286
645	6280	9274
646	6289	9264
647	6298	9253
648	6307	9241
649	6315	9230
650	6323	9218
651	6332	9207
652	6341	9196
653	6351	9187
654	6360	9176
655	6369	9165
656	6378	9154
657	6387	9144
658	6396	9133
659	6404	9121
660	6413	9110
661	6422	9099
662	6433	9091
663	6441	9080
664	6451	9070
665	6461	9061
666	6473	9054
667	6483	9045
668	6491	9033
669	6500	9022
670	6509	9011
671	6518	9001
672	6529	8993
673	6538	8983
674	6548	8973
675	6557	8962
676	6566	8952
677	6580	8948
678	6589	8938
679	6597	8926
680	6607	8916
681	6616	8906
682	6626	8896
683	6636	8887
684	6648	8880
685	6659	8873
686	6668	8861
687	6677	8851
688	6686	8841
689	6694	8829
690	6704	8819
691	6713	8809
692	6724	8801
693	6733	8790
