event_id,raceId,driverId,constructorId,circuitId,year,round,race_name,constructor_name,circuit_name,pit_lap,stop_number,stop_duration_ms,race_total_laps,grid_position,current_position,driver_champ_points,constructor_champ_points,lap_time_delta_ms,laps_since_last_pit,laps_remaining,approx_gap_ahead_s,approx_gap_behind_s,safety_car_likely,recent_pace_delta_ms,position_change_from_grid,same_lap_pitters,pit_window_density,stint_extension_laps,race_progress,stint_fraction,pressure_index,strategy
1060_830_1,1060,830,9,70,2021,9,Austrian Grand Prix,Red Bull,Red Bull Ring,32,1,21090,71,1,1,156.0,252.0,4252,32.0,39,,29.339,0,665.6666666666715,0,0,4,6.0,0.4507042253521127,0.4507042253521127,,Standard
1061_817_1,1061,817,1,9,2021,10,British Grand Prix,McLaren,Silverstone Circuit,2,1,2051281,52,6,5,40.0,141.0,31645,2.0,50,3.11,3.568,1,0.0,1,4,4,-14.0,0.038461538461538464,0.038461538461538464,0.4622231880723195,Emergency
1061_842_1,1061,842,213,9,2021,10,British Grand Prix,AlphaTauri,Silverstone Circuit,2,1,2067244,52,11,12,39.0,48.0,29263,2.0,50,2.898,2.31,1,0.0,-1,11,11,-14.0,0.038461538461538464,0.038461538461538464,0.5586566199414371,Emergency
1062_830_1,1062,830,9,11,2021,11,Hungarian Grand Prix,Red Bull,Hungaroring,1,1,22569,70,3,9,185.0,289.0,0,1.0,69,0.952,0.157,0,,-6,0,0,-15.0,0.014285714285714285,0.014285714285714285,1.376599317057965,Undercut
1062_839_3,1062,839,214,11,2021,11,Hungarian Grand Prix,Alpine F1 Team,Hungaroring,37,3,21642,70,8,1,14.0,40.0,2319,34.0,33,,12.317,0,212.0,7,0,1,21.0,0.5285714285714286,0.4857142857142857,,Standard
1064_20_2,1064,20,117,39,2021,13,Dutch Grand Prix,Aston Martin,Circuit Park Zandvoort,44,2,18681,72,15,17,35.0,53.0,3139,34.0,28,1.828,15.476,0,608.3333333333285,-2,0,1,15.0,0.6111111111111112,0.4722222222222222,0.4143011325375592,Overcut
1064_830_2,1064,830,9,39,2021,13,Dutch Grand Prix,Red Bull,Circuit Park Zandvoort,40,2,18578,72,1,1,199.5,303.5,3069,19.0,32,,21.11,0,133.0,0,0,1,0.0,0.5555555555555556,0.2638888888888889,,Standard
1064_841_1,1064,841,51,39,2021,13,Dutch Grand Prix,Alfa Romeo,Circuit Park Zandvoort,27,1,19049,72,7,10,1.0,3.0,3583,27.0,45,6.585,1.087,0,289.0,-3,0,0,12.0,0.375,0.375,0.6109958404651452,Standard
1064_844_1,1064,844,6,39,2021,13,Dutch Grand Prix,Ferrari,Circuit Park Zandvoort,34,1,19490,72,5,4,82.0,165.5,4920,34.0,38,13.091,7.356,0,1345.3333333333285,1,0,3,19.0,0.4722222222222222,0.4722222222222222,0.190641769481751,Standard
1065_839_1,1065,839,214,14,2021,14,Italian Grand Prix,Alpine F1 Team,Autodromo Nazionale di Monza,26,1,30333,53,12,7,44.0,90.0,28157,26.0,27,17.776,3.344,1,574.6666666666715,5,4,10,4.0,0.49056603773584906,0.49056603773584906,0.28346205845635,Standard
1065_840_1,1065,840,117,14,2021,14,Italian Grand Prix,Aston Martin,Autodromo Nazionale di Monza,25,1,24846,53,9,9,18.0,53.0,4867,25.0,28,3.36,4.669,0,1267.6666666666715,0,1,6,3.0,0.4716981132075472,0.4716981132075472,0.4057557519488738,Standard
1066_839_1,1066,839,214,71,2021,15,Russian Grand Prix,Alpine F1 Team,Sochi Autodrom,15,1,29901,53,9,8,45.0,95.0,4505,15.0,38,1.719,0.914,0,59.0,1,0,5,-5.0,0.2830188679245283,0.2830188679245283,0.8902483126018654,Undercut
1066_844_1,1066,844,6,71,2021,15,Russian Grand Prix,Ferrari,Sochi Autodrom,35,1,31849,53,19,5,104.0,201.5,6403,35.0,18,6.583,9.549,0,931.3333333333285,14,0,1,15.0,0.660377358490566,0.660377358490566,0.2266696437580022,Standard
1067_20_2,1067,20,117,5,2021,16,Turkish Grand Prix,Aston Martin,Istanbul Park,37,2,23514,58,10,18,35.0,59.0,65437,1.0,21,5.704,16.053,0,1946.0,-8,3,9,-22.5,0.6379310344827587,0.017241379310344827,0.2078053861840532,Standard
1069_817_1,1069,817,1,69,2021,17,United States Grand Prix,McLaren,Circuit of the Americas,11,1,24176,56,6,5,95.0,240.0,880,11.0,45,2.533,3.266,0,360.6666666666715,1,0,5,-5.0,0.19642857142857142,0.19642857142857142,0.5174571971535143,Standard
1069_852_2,1069,852,213,69,2021,17,United States Grand Prix,AlphaTauri,Circuit of the Americas,32,2,23529,56,10,9,18.0,92.0,2107,23.0,24,6.881,10.912,0,1306.0,1,1,6,4.5,0.5714285714285714,0.4107142857142857,0.2108364098640208,Standard
1069_853_1,1069,853,210,69,2021,17,United States Grand Prix,Haas F1 Team,Circuit of the Americas,1,1,30673,56,17,20,0.0,0.0,0,1.0,55,0.013,,0,,-3,0,0,-15.0,0.017857142857142856,0.017857142857142856,,Standard
1070_832_1,1070,832,6,32,2021,18,Mexico City Grand Prix,Ferrari,Autódromo Hermanos Rodríguez,42,1,22031,71,6,4,122.5,250.5,4141,42.0,29,12.176,6.526,0,809.3333333333285,2,0,2,26.0,0.5915492957746479,0.5915492957746479,0.2087682756446343,Standard
1071_20_2,1071,20,117,18,2021,19,São Paulo Grand Prix,Aston Martin,Autódromo José Carlos Pace,8,2,17896,71,9,7,42.0,68.0,57454,1.0,63,2.846,1.73,1,18913.0,2,6,29,-18.0,0.11267605633802817,0.014084507042253521,0.626310766716383,Emergency
1071_822_3,1071,822,131,18,2021,19,São Paulo Grand Prix,Mercedes,Autódromo José Carlos Pace,30,3,23263,71,1,1,185.0,478.5,12714,22.0,41,,5.909,1,760.6666666666715,0,0,5,12.0,0.4225352112676056,0.30985915492957744,,Standard
1071_830_3,1071,830,9,18,2021,19,São Paulo Grand Prix,Red Bull,Autódromo José Carlos Pace,27,3,22722,71,2,1,312.5,477.5,4382,19.0,44,,4.009,0,624.0,1,0,3,9.0,0.38028169014084506,0.2676056338028169,,Standard
1071_842_4,1071,842,213,18,2021,19,São Paulo Grand Prix,AlphaTauri,Autódromo José Carlos Pace,51,4,23039,71,7,7,86.0,106.0,4143,26.0,20,10.583,10.219,0,493.0,0,0,0,1.0,0.7183098591549296,0.36619718309859156,0.17546792363323843,Standard
1071_846_1,1071,846,1,18,2021,19,São Paulo Grand Prix,McLaren,Autódromo José Carlos Pace,1,1,27313,71,5,20,150.0,255.0,0,1.0,70,28.204,,0,,-15,0,0,-12.0,0.014084507042253521,0.014084507042253521,,Standard
1071_846_2,1071,846,1,18,2021,19,São Paulo Grand Prix,McLaren,Autódromo José Carlos Pace,6,2,17719,71,5,20,150.0,255.0,26959,5.0,65,10.85,,1,3852.0,-15,2,3,-14.0,0.08450704225352113,0.07042253521126761,,Standard
1071_853_1,1071,853,210,18,2021,19,São Paulo Grand Prix,Haas F1 Team,Autódromo José Carlos Pace,7,1,17995,71,19,14,0.0,0.0,39779,7.0,64,1.66,0.833,1,5537.6666666666715,5,13,16,-6.0,0.09859154929577464,0.09859154929577464,0.9214935866671589,Undercut
1071_853_2,1071,853,210,18,2021,19,São Paulo Grand Prix,Haas F1 Team,Autódromo José Carlos Pace,8,2,18467,71,19,14,0.0,0.0,56875,1.0,63,3.383,0.911,1,18726.0,5,13,36,-18.0,0.11267605633802817,0.014084507042253521,0.7514404698329602,Emergency
1072_822_2,1072,822,131,77,2021,21,Saudi Arabian Grand Prix,Mercedes,Jeddah Corniche Circuit,13,2,995942,50,2,3,203.0,546.5,83472,3.0,37,2.552,1.667,1,62930.66666666666,-1,2,2,-16.0,0.26,0.06,0.6564846623901742,Emergency
1072_844_1,1072,844,6,77,2021,21,Saudi Arabian Grand Prix,Ferrari,Jeddah Corniche Circuit,10,1,20531,50,4,4,152.0,297.5,31333,10.0,40,4.515,3.237,1,68.33333333332848,0,2,4,-5.0,0.2,0.2,0.4173397118293255,Standard
1072_846_1,1072,846,1,77,2021,21,Saudi Arabian Grand Prix,McLaren,Jeddah Corniche Circuit,10,1,20973,50,7,7,153.0,258.0,31547,10.0,40,0.882,0.023,1,237.66666666667152,0,4,6,-5.0,0.2,0.2,1.508866734604625,Undercut
1072_853_1,1072,853,210,77,2021,21,Saudi Arabian Grand Prix,Haas F1 Team,Jeddah Corniche Circuit,13,1,1019226,50,20,16,0.0,0.0,93342,13.0,37,5.403,5.975,1,47337.0,4,15,15,-2.0,0.26,0.26,0.29954596775592984,Emergency
1072_8_2,1072,8,51,77,2021,21,Saudi Arabian Grand Prix,Alfa Romeo,Jeddah Corniche Circuit,15,2,1099282,50,12,11,10.0,11.0,113345,2.0,35,4.115,2.219,1,421204.6666666667,1,10,29,-17.0,0.3,0.04,0.5061589043791491,Emergency
1073_822_1,1073,822,131,24,2021,22,Abu Dhabi Grand Prix,Mercedes,Yas Marina Circuit,30,1,21669,58,6,4,218.0,587.5,2073,30.0,28,0.837,11.068,0,216.33333333332848,2,0,1,18.0,0.5172413793103449,0.5172413793103449,0.6272295857857912,Overcut
1073_830_2,1073,830,9,24,2021,22,Abu Dhabi Grand Prix,Red Bull,Yas Marina Circuit,36,2,21871,58,1,2,369.5,559.5,16017,23.0,22,7.836,34.25,1,127.33333333332848,-1,0,1,2.0,0.6206896551724138,0.39655172413793105,0.14154217594688395,Standard
1074_1_2,1074,1,131,3,2022,1,Bahrain Grand Prix,Mercedes,Bahrain International Circuit,27,2,25796,57,5,5,0.0,0.0,3430,16.0,30,17.055,2.772,0,1025.0,0,0,1,-3.0,0.47368421052631576,0.2807017543859649,0.32049766634470556,Standard
1074_842_2,1074,842,213,3,2022,1,Bahrain Grand Prix,AlphaTauri,Bahrain International Circuit,32,2,25875,57,10,8,0.0,0.0,3600,18.0,25,7.807,11.118,0,1412.0,2,0,3,-1.0,0.5614035087719298,0.3157894736842105,0.19606791121550243,Standard
1074_849_2,1074,849,3,3,2022,1,Bahrain Grand Prix,Williams,Bahrain International Circuit,32,2,24778,57,20,20,0.0,0.0,5338,18.0,25,0.241,,0,2949.6666666666715,0,1,4,-1.0,0.5614035087719298,0.3157894736842105,,Standard
1074_852_2,1074,852,213,3,2022,1,Bahrain Grand Prix,AlphaTauri,Bahrain International Circuit,29,2,24350,57,16,11,0.0,0.0,4045,14.0,28,1.582,0.976,0,1289.3333333333285,5,0,1,-5.0,0.5087719298245614,0.24561403508771928,0.8933695437425716,Undercut
1075_4_1,1075,4,214,77,2022,2,Saudi Arabian Grand Prix,Alpine F1 Team,Jeddah Corniche Circuit,16,1,21543,50,7,6,2.0,8.0,22747,16.0,34,19.231,3.329,1,486.6666666666715,1,4,6,3.0,0.32,0.32,0.28042932496493855,Standard
1075_822_1,1075,822,51,77,2022,2,Saudi Arabian Grand Prix,Alfa Romeo,Jeddah Corniche Circuit,16,1,22561,50,8,7,8.0,9.0,24831,16.0,34,3.329,4.471,1,412.6666666666715,1,5,7,3.0,0.32,0.32,0.4137821721444459,Standard
1075_822_2,1075,822,51,77,2022,2,Saudi Arabian Grand Prix,Alfa Romeo,Jeddah Corniche Circuit,35,2,22710,50,8,10,8.0,9.0,3929,19.0,15,0.856,3.187,0,788.3333333333285,-2,0,0,16.5,0.7,0.38,0.7776275911482998,Standard
1075_855_2,1075,855,51,77,2022,2,Saudi Arabian Grand Prix,Alfa Romeo,Jeddah Corniche Circuit,27,2,15103,50,12,16,1.0,9.0,2786,11.0,23,0.429,1.038,0,344.6666666666715,-4,0,0,8.5,0.54,0.22,1.1904671974266405,Standard
1076_825_1,1076,825,210,1,2022,3,Australian Grand Prix,Haas F1 Team,Albert Park Grand Prix Circuit,39,1,19111,58,16,16,12.0,12.0,39058,39.0,19,0.862,0.532,1,219.66666666667152,0,1,1,23.0,0.6724137931034483,0.6724137931034483,1.189798442394685,Overcut
1076_830_1,1076,830,9,1,2022,3,Australian Grand Prix,Red Bull,Albert Park Grand Prix Circuit,18,1,18281,58,2,7,25.0,37.0,15712,18.0,40,1.543,4.881,0,791.3333333333285,-5,0,1,2.0,0.3103448275862069,0.3103448275862069,0.5632754440324264,Standard
1076_839_1,1076,839,214,1,2022,3,Australian Grand Prix,Alpine F1 Team,Albert Park Grand Prix Circuit,17,1,19128,58,8,17,14.0,16.0,16303,17.0,41,0.11,13.433,0,808.0,-9,0,0,1.0,0.29310344827586204,0.29310344827586204,0.9701865656968545,Standard
1076_846_1,1076,846,1,1,2022,3,Australian Grand Prix,McLaren,Albert Park Grand Prix Circuit,20,1,17556,58,4,10,6.0,6.0,14100,20.0,38,3.763,0.686,0,243.33333333332848,-6,1,3,4.0,0.3448275862068966,0.3448275862068966,0.8030715213081062,Standard
1077_825_1,1077,825,210,21,2022,4,Emilia Romagna Grand Prix,Haas F1 Team,Autodromo Enzo e Dino Ferrari,18,1,33765,63,8,7,12.0,12.0,7566,18.0,45,9.126,9.288,0,3164.3333333333285,1,3,7,-7.5,0.2857142857142857,0.2857142857142857,0.1959563005354923,Standard
1077_847_1,1077,847,131,21,2022,4,Emilia Romagna Grand Prix,Mercedes,Autodromo Enzo e Dino Ferrari,18,1,31079,63,11,5,37.0,65.0,6664,18.0,45,13.436,1.519,0,2843.0,6,1,5,-7.5,0.2857142857142857,0.2857142857142857,0.466254196012769,Standard
1077_854_1,1077,854,210,21,2022,4,Emilia Romagna Grand Prix,Haas F1 Team,Autodromo Enzo e Dino Ferrari,18,1,31320,63,10,14,0.0,12.0,5927,18.0,45,0.497,5.237,0,2171.0,-4,9,13,-7.5,0.2857142857142857,0.2857142857142857,0.8283361656775151,Undercut
1078_825_1,1078,825,210,79,2022,5,Miami Grand Prix,Haas F1 Team,Miami International Autodrome,12,1,19760,57,16,13,15.0,15.0,6103,12.0,45,1.086,0.649,0,436.0,3,0,1,-3.0,0.21052631578947367,0.21052631578947367,1.0858145236922692,Undercut
1078_842_1,1078,842,213,79,2022,5,Miami Grand Prix,AlphaTauri,Miami International Autodrome,16,1,19543,57,7,7,6.0,16.0,4946,16.0,41,9.325,1.311,0,183.66666666667152,0,0,2,1.0,0.2807017543859649,0.2807017543859649,0.5295654114494004,Standard
1078_849_1,1078,849,3,79,2022,5,Miami Grand Prix,Williams,Miami International Autodrome,34,1,19185,57,19,19,0.0,1.0,5633,34.0,23,12.251,,0,474.3333333333285,0,0,0,19.0,0.5964912280701754,0.5964912280701754,,Standard
1079_1_2,1079,1,131,4,2022,6,Spanish Grand Prix,Mercedes,Circuit de Barcelona-Catalunya,22,2,22105,66,6,16,36.0,95.0,6991,21.0,44,2.57,3.762,0,2836.0,-10,0,2,0.0,0.3333333333333333,0.3181818181818182,0.4901078449019255,Standard
1079_815_2,1079,815,9,4,2022,6,Spanish Grand Prix,Red Bull,Circuit de Barcelona-Catalunya,37,2,21619,66,5,1,66.0,151.0,5083,20.0,29,,0.753,0,1087.0,4,0,2,-1.0,0.5606060606060606,0.30303030303030304,,Standard
1079_817_2,1079,817,1,4,2022,6,Spanish Grand Prix,McLaren,Circuit de Barcelona-Catalunya,31,2,22399,66,9,11,11.0,46.0,5118,20.0,35,3.521,0.081,0,1516.0,-2,2,5,-1.0,0.4696969696969697,0.30303030303030304,1.1462593824154153,Undercut
1079_830_1,1079,830,9,4,2022,6,Spanish Grand Prix,Red Bull,Circuit de Barcelona-Catalunya,13,1,22173,66,2,4,85.0,151.0,4870,13.0,53,1.116,4.244,0,1660.6666666666715,-2,1,7,-6.0,0.19696969696969696,0.19696969696969696,0.6632839186813915,Standard
1079_839_3,1079,839,214,4,2022,6,Spanish Grand Prix,Alpine F1 Team,Circuit de Barcelona-Catalunya,52,3,22033,66,12,7,24.0,26.0,5201,17.0,14,10.628,7.083,0,1178.0,5,0,3,-1.0,0.7878787878787878,0.25757575757575757,0.20971575392063446,Standard
1079_840_1,1079,840,117,4,2022,6,Spanish Grand Prix,Aston Martin,Circuit de Barcelona-Catalunya,14,1,22833,66,17,9,2.0,6.0,4549,14.0,52,0.047,2.392,0,695.3333333333285,8,1,7,-5.0,0.21212121212121213,0.21212121212121213,1.2499211583860446,Undercut
1079_847_1,1079,847,131,4,2022,6,Spanish Grand Prix,Mercedes,Circuit de Barcelona-Catalunya,13,1,22154,66,4,3,59.0,95.0,4559,13.0,53,0.356,1.116,0,1489.6666666666715,1,0,6,-6.0,0.19696969696969696,0.19696969696969696,1.2100529189041493,Undercut
1079_848_1,1079,848,3,4,2022,6,Spanish Grand Prix,Williams,Circuit de Barcelona-Catalunya,11,1,23419,66,18,14,3.0,3.0,4691,11.0,55,1.999,4.099,0,1326.6666666666715,4,2,6,-8.0,0.16666666666666666,0.16666666666666666,0.5295613671576869,Standard
1080_815_3,1080,815,9,6,2022,7,Monaco Grand Prix,Red Bull,Circuit de Monaco,30,3,1172062,64,3,1,85.0,195.0,1200971,8.0,34,,3.73,1,39257.66666666667,2,0,5,-12.5,0.46875,0.125,,Emergency
1080_817_2,1080,817,1,6,2022,7,Monaco Grand Prix,McLaren,Circuit de Monaco,30,2,1168673,64,14,13,11.0,50.0,1183555,11.0,34,1.865,62.432,1,26148.66666666667,1,12,17,-11.0,0.46875,0.171875,0.36480505322432927,Emergency
1080_832_1,1080,832,6,6,2022,7,Monaco Grand Prix,Ferrari,Circuit de Monaco,21,1,24666,64,2,3,65.0,169.0,15900,21.0,43,9.285,6.466,0,158.33333333332848,-1,0,4,-5.0,0.328125,0.328125,0.23116950463882224,Standard
1080_839_1,1080,839,214,6,2022,7,Monaco Grand Prix,Alpine F1 Team,Circuit de Monaco,21,1,24875,64,10,9,30.0,34.0,15708,21.0,43,16.068,1.835,0,1244.3333333333285,1,4,8,-5.0,0.328125,0.328125,0.41132285878790054,Standard
1080_847_1,1080,847,131,6,2022,7,Monaco Grand Prix,Mercedes,Circuit de Monaco,21,1,25352,64,6,6,74.0,120.0,16503,21.0,43,15.429,3.226,0,729.3333333333285,0,2,6,-5.0,0.328125,0.328125,0.29749836069833346,Standard
1080_847_2,1080,847,131,6,2022,7,Monaco Grand Prix,Mercedes,Circuit de Monaco,30,2,1177545,64,6,5,74.0,120.0,1209729,9.0,34,7.819,6.957,1,38850.33333333333,1,4,9,-13.0,0.46875,0.140625,0.2390670468349531,Emergency
1081_1_1,1081,1,131,73,2022,8,Azerbaijan Grand Prix,Mercedes,Baku City Circuit,9,1,21470,51,7,6,50.0,134.0,19565,9.0,42,4.852,0.554,0,1173.3333333333285,1,3,3,-2.0,0.17647058823529413,0.17647058823529413,0.8143823933297618,Standard
1081_844_1,1081,844,6,73,2022,8,Azerbaijan Grand Prix,Ferrari,Baku City Circuit,9,1,23212,51,1,3,116.0,199.0,10615,9.0,42,0.168,16.348,0,287.0,-2,0,0,-2.0,0.17647058823529413,0.17647058823529413,0.9138079159573091,Undercut
1081_852_2,1081,852,213,73,2022,8,Azerbaijan Grand Prix,AlphaTauri,Baku City Circuit,38,2,41500,51,8,7,11.0,17.0,4480,29.0,13,3.281,2.673,0,1561.3333333333285,1,0,0,10.0,0.7450980392156863,0.5686274509803921,0.5058472932622654,Standard
1082_1_2,1082,1,131,7,2022,9,Canadian Grand Prix,Mercedes,Circuit Gilles Villeneuve,44,2,23841,70,4,4,62.0,161.0,17619,35.0,26,9.968,16.615,0,514.6666666666715,0,0,2,8.5,0.6285714285714286,0.5,0.14794412377720817,Standard
1082_20_2,1082,20,117,7,2022,9,Canadian Grand Prix,Aston Martin,Circuit Gilles Villeneuve,19,2,23681,70,16,14,13.0,15.0,26893,14.0,51,8.912,0.093,1,396.3333333333285,2,5,6,-12.5,0.2714285714285714,0.2,1.0158008960093101,Standard
1082_832_1,1082,832,6,7,2022,9,Canadian Grand Prix,Ferrari,Circuit Gilles Villeneuve,20,1,24215,70,3,3,83.0,199.0,41867,20.0,50,0.377,2.269,1,308.0,0,0,7,2.0,0.2857142857142857,0.2857142857142857,1.0321203586518277,Standard
1082_844_1,1082,844,6,7,2022,9,Canadian Grand Prix,Ferrari,Circuit Gilles Villeneuve,41,1,26199,70,19,9,116.0,199.0,19431,41.0,29,0.539,0.038,0,489.6666666666715,10,0,0,23.0,0.5857142857142857,0.5857142857142857,1.6131637163986823,Standard
1082_855_1,1082,855,51,7,2022,9,Canadian Grand Prix,Alfa Romeo,Circuit Gilles Villeneuve,19,1,24281,70,10,10,1.0,41.0,22469,19.0,51,2.167,1.739,1,640.3333333333285,0,2,3,1.0,0.2714285714285714,0.2714285714285714,0.6808529868245841,Standard
1082_855_2,1082,855,51,7,2022,9,Canadian Grand Prix,Alfa Romeo,Circuit Gilles Villeneuve,49,2,23980,70,10,10,1.0,41.0,44635,30.0,21,7.14,5.58,1,938.3333333333285,0,4,7,3.5,0.7,0.42857142857142855,0.27482580674070034,Standard
1083_1_1,1083,1,131,9,2022,10,British Grand Prix,Mercedes,Silverstone Circuit,1,1,3046888,52,5,3,77.0,188.0,0,1.0,51,2.244,1.548,0,,2,2,2,-12.0,0.019230769230769232,0.019230769230769232,0.7007260838509737,Emergency
1083_830_1,1083,830,9,9,2022,10,British Grand Prix,Red Bull,Silverstone Circuit,1,1,3037323,52,2,1,175.0,304.0,0,1.0,51,,2.01,0,,1,0,0,-12.0,0.019230769230769232,0.019230769230769232,,Emergency
1083_852_2,1083,852,213,9,2022,10,British Grand Prix,AlphaTauri,Silverstone Circuit,18,2,34759,52,13,14,11.0,27.0,0,17.0,34,10.065,3.176,0,690.6666666666715,-1,0,1,1.0,0.34615384615384615,0.3269230769230769,0.32983865801697737,Standard
1083_852_3,1083,852,213,9,2022,10,British Grand Prix,AlphaTauri,Silverstone Circuit,38,3,29448,52,13,14,11.0,27.0,15935,20.0,14,24.944,,0,111.0,-1,1,1,0.0,0.7307692307692307,0.38461538461538464,,Standard
1084_1_1,1084,1,131,70,2022,11,Austrian Grand Prix,Mercedes,Red Bull Ring,28,1,23026,71,8,4,93.0,204.0,3816,28.0,43,1.817,17.506,0,717.3333333333285,4,0,4,2.0,0.39436619718309857,0.39436619718309857,0.4090241041282565,Standard
1084_832_1,1084,832,6,70,2022,11,Austrian Grand Prix,Ferrari,Red Bull Ring,27,1,21212,71,3,1,127.0,265.0,4468,27.0,44,,5.512,0,925.3333333333285,2,0,2,1.0,0.38028169014084506,0.38028169014084506,,Standard
1084_844_3,1084,844,6,70,2022,11,Austrian Grand Prix,Ferrari,Red Bull Ring,58,3,21650,71,2,1,138.0,265.0,15839,9.0,13,,5.459,1,233.0,1,0,1,7.0,0.8169014084507042,0.1267605633802817,,Standard
1084_855_1,1084,855,51,70,2022,11,Austrian Grand Prix,Alfa Romeo,Red Bull Ring,24,1,22704,71,13,15,5.0,51.0,6785,24.0,47,0.397,1.933,0,914.6666666666715,-2,0,0,-2.0,0.3380281690140845,0.3380281690140845,1.0567674484386567,Undercut
1085_846_1,1085,846,1,34,2022,12,French Grand Prix,McLaren,Circuit Paul Ricard,18,1,37539,53,5,7,64.0,81.0,33190,18.0,35,2.931,8.288,1,561.3333333333285,-2,4,5,-6.0,0.33962264150943394,0.33962264150943394,0.3620540017279116,Standard
1085_855_2,1085,855,51,34,2022,12,French Grand Prix,Alfa Romeo,Circuit Paul Ricard,22,2,50790,53,16,18,5.0,51.0,44478,13.0,31,33.576,,0,19066.0,-2,0,0,-6.0,0.41509433962264153,0.24528301886792453,,Standard
1086_815_1,1086,815,9,11,2022,13,Hungarian Grand Prix,Red Bull,Hungaroring,18,1,21118,70,11,3,163.0,396.0,4005,18.0,52,8.369,0.146,0,1275.0,8,0,4,3.0,0.2571428571428571,0.2571428571428571,0.9793353260921197,Standard
1086_817_2,1086,817,1,11,2022,13,Hungarian Grand Prix,McLaren,Hungaroring,46,2,21521,70,9,8,19.0,89.0,3323,31.0,24,0.731,1.056,0,605.3333333333285,1,0,0,9.0,0.6571428571428571,0.44285714285714284,1.064082073968175,Standard
1086_839_1,1086,839,214,11,2022,13,Hungarian Grand Prix,Alpine F1 Team,Hungaroring,23,1,23581,70,5,6,56.0,93.0,3130,23.0,47,2.244,5.52,0,1222.3333333333285,-1,0,4,8.0,0.32857142857142857,0.32857142857142857,0.4616356388008442,Standard
1086_840_2,1086,840,117,11,2022,13,Hungarian Grand Prix,Aston Martin,Hungaroring,46,2,21615,70,14,9,4.0,19.0,3540,32.0,24,1.056,4.027,0,1080.3333333333285,5,1,1,10.0,0.6571428571428571,0.45714285714285713,0.6853071236335462,Overcut
1086_847_1,1086,847,131,11,2022,13,Hungarian Grand Prix,Mercedes,Hungaroring,16,1,22763,70,1,3,143.0,270.0,3941,16.0,54,0.748,7.96,0,1093.0,-2,0,4,1.0,0.22857142857142856,0.22857142857142856,0.6836895227198432,Standard
1087_817_2,1087,817,1,13,2022,14,Belgian Grand Prix,McLaren,Circuit de Spa-Francorchamps,32,2,23146,44,7,10,19.0,95.0,4930,20.0,12,2.52,7.444,0,1099.3333333333285,-3,1,4,6.0,0.7272727272727273,0.45454545454545453,0.4025181947375221,Standard
1087_830_1,1087,830,9,13,2022,14,Belgian Grand Prix,Red Bull,Circuit de Spa-Francorchamps,15,1,22882,44,14,1,258.0,431.0,5866,15.0,29,,8.804,0,1640.6666666666715,13,0,6,5.0,0.3409090909090909,0.3409090909090909,,Standard
1087_846_2,1087,846,1,13,2022,14,Belgian Grand Prix,McLaren,Circuit de Spa-Francorchamps,29,2,23560,44,17,12,76.0,95.0,5491,16.0,15,0.014,7.51,0,2155.3333333333285,5,1,4,2.0,0.6590909090909091,0.36363636363636365,1.1037021070465887,Undercut
1088_815_3,1088,815,9,39,2022,15,Dutch Grand Prix,Red Bull,Circuit Park Zandvoort,56,3,19250,72,5,5,191.0,475.0,21800,16.0,16,4.901,34.233,1,370.0,0,2,7,2.0,0.7777777777777778,0.2222222222222222,0.19784528524666495,Standard
1088_817_1,1088,817,1,39,2022,15,Dutch Grand Prix,McLaren,Circuit Park Zandvoort,11,1,19546,72,17,17,19.0,95.0,4554,11.0,61,2.518,2.713,0,437.0,0,1,2,-17.5,0.1527777777777778,0.1527777777777778,0.5535764129136493,Standard
1088_825_3,1088,825,210,39,2022,15,Dutch Grand Prix,Haas F1 Team,Circuit Park Zandvoort,47,3,23663,72,18,17,22.0,34.0,29076,13.0,25,4.489,5.511,1,3151.6666666666715,1,3,4,-1.0,0.6527777777777778,0.18055555555555555,0.33576878558502077,Standard
1088_830_2,1088,830,9,39,2022,15,Dutch Grand Prix,Red Bull,Circuit Park Zandvoort,48,2,19610,72,1,1,284.0,475.0,23685,30.0,24,,18.158,1,593.3333333333285,0,0,5,11.0,0.6666666666666666,0.4166666666666667,,Standard
1088_848_4,1088,848,3,39,2022,15,Dutch Grand Prix,Williams,Circuit Park Zandvoort,56,4,14114,72,15,12,4.0,4.0,53758,1.0,16,46.893,2.671,1,5893.3333333333285,3,6,11,-12.0,0.7777777777777778,0.013888888888888888,0.2932852172061594,Emergency
1088_852_2,1088,852,213,39,2022,15,Dutch Grand Prix,AlphaTauri,Circuit Park Zandvoort,42,2,19293,72,9,11,11.0,29.0,3070,29.0,30,2.319,8.094,0,228.66666666667152,-2,0,1,10.0,0.5833333333333334,0.4027777777777778,0.411258183666785,Overcut
1088_855_3,1088,855,51,39,2022,15,Dutch Grand Prix,Alfa Romeo,Circuit Park Zandvoort,55,3,20188,72,14,13,5.0,51.0,22861,18.0,17,20.064,2.578,1,682.0,1,1,2,4.0,0.7638888888888888,0.25,0.32696011007046694,Standard
1089_815_1,1089,815,9,14,2022,16,Italian Grand Prix,Red Bull,Autodromo Nazionale di Monza,7,1,23698,53,13,18,201.0,511.0,4922,7.0,46,0.624,0.166,0,91.66666666667152,-5,0,0,-15.0,0.1320754716981132,0.1320754716981132,1.4733964799026609,Undercut
