event_id,raceId,driverId,constructorId,circuitId,year,round,race_name,constructor_name,circuit_name,pit_lap,stop_number,stop_duration_ms,race_total_laps,grid_position,current_position,driver_champ_points,constructor_champ_points,lap_time_delta_ms,laps_since_last_pit,laps_remaining,approx_gap_ahead_s,approx_gap_behind_s,safety_car_likely,recent_pace_delta_ms,position_change_from_grid,same_lap_pitters,pit_window_density,stint_extension_laps,race_progress,stint_fraction,pressure_index,strategy
1009_815_1,1009,815,10,24,2018,21,Abu Dhabi Grand Prix,Force India,Yas Marina Circuit,26,1,22112,55,14,7,58.0,48.0,2603,26.0,29,0.758,12.801,0,324.0,7,0,0,15.0,0.4727272727272727,0.4727272727272727,0.6412867313781404,Standard
1009_832_1,1009,832,4,24,2018,21,Abu Dhabi Grand Prix,Renault,Yas Marina Circuit,37,1,21964,55,11,6,45.0,114.0,2558,37.0,18,32.052,21.705,0,435.3333333333285,5,0,2,26.0,0.6727272727272727,0.6727272727272727,0.0742985174969231,Standard
1009_842_1,1009,842,5,24,2018,21,Abu Dhabi Grand Prix,Toro Rosso,Yas Marina Circuit,29,1,22493,55,17,7,29.0,33.0,1523,29.0,26,18.044,1.232,0,1011.3333333333285,10,0,1,18.0,0.5272727272727272,0.5272727272727272,0.5005386507307356,Overcut
1009_844_1,1009,844,15,24,2018,21,Abu Dhabi Grand Prix,Sauber,Yas Marina Circuit,7,1,21828,55,8,4,33.0,42.0,25607,7.0,48,4.864,2.758,1,18911.33333333333,4,1,1,-4.0,0.12727272727272726,0.12727272727272726,0.4366310488511276,Standard
1010_154_1,1010,154,210,1,2019,1,Australian Grand Prix,Haas F1 Team,Albert Park Grand Prix Circuit,15,1,29981,58,6,14,0.0,0.0,26449,15.0,43,0.979,4.907,0,422.6666666666715,-8,1,6,-2.0,0.25862068965517243,0.25862068965517243,0.6745963820384907,Standard
1010_842_1,1010,842,9,1,2019,1,Australian Grand Prix,Red Bull,Albert Park Grand Prix Circuit,37,1,21269,58,17,10,0.0,0.0,18763,37.0,21,0.816,5.309,0,996.3333333333285,7,0,0,20.0,0.6379310344827587,0.6379310344827587,0.7091645177890755,Standard
1010_9_3,1010,9,3,1,2019,1,Australian Grand Prix,Williams,Albert Park Grand Prix Circuit,44,3,21889,58,20,17,0.0,0.0,19092,16.0,14,77.018,,0,968.3333333333285,3,0,1,2.0,0.7586206896551724,0.27586206896551724,,Standard
1011_154_1,1011,154,210,3,2019,2,Bahrain Grand Prix,Haas F1 Team,Bahrain International Circuit,1,1,32082,57,11,20,0.0,8.0,0,1.0,56,7.044,,0,,-9,1,1,-12.0,0.017543859649122806,0.017543859649122806,,Standard
1011_1_2,1011,1,131,3,2019,2,Bahrain Grand Prix,Mercedes,Bahrain International Circuit,34,2,24324,57,3,3,18.0,44.0,5513,21.0,23,8.011,7.929,0,2922.6666666666715,0,0,4,3.0,0.5964912280701754,0.3684210526315789,0.22297009867818876,Standard
1011_822_1,1011,822,131,3,2019,2,Bahrain Grand Prix,Mercedes,Bahrain International Circuit,12,1,24865,57,4,4,26.0,44.0,3024,12.0,45,6.918,7.521,0,550.6666666666715,0,0,4,-1.0,0.21052631578947367,0.21052631578947367,0.24365163652707236,Standard
